file,Best_Baseline_Algo,Best_Baseline_Score,Best_TSPulse_Algo,Best_TSPulse_Score,TSPulse_ZS_ensemble,TSPulse2,Diff_TSPulse2_vs_Baseline,Diff_ZS_vs_Baseline,Diff_TSPulse2_vs_Best_TSPulse,Diff_TSPulse2_vs_Ensemble
555_YAHOO_id_5_WebService_tr_500_1st_730,TimesFM,0.9440573274774527,TSPulse_ZS_future,0.990328,0.82305,0.920288,-0.02376932747745275,0.04627067252254724,-0.07003999999999999,0.09723800000000005
817_Exathlon_id_8_Facility_tr_10766_1st_12590,USAD,0.874370074858941,TSPulse_ZS_fft,0.682084,0.288974,0.848796,-0.02557407485894103,-0.192286074858941,0.16671199999999997,0.559822
288_TODS_id_2_Synthetic_tr_500_1st_65,TimesFM,0.893209416018168,TSPulse_ZS_time,0.233036,0.225605,0.849485,-0.0437244160181679,-0.6601734160181679,0.616449,0.62388
868_OPPORTUNITY_id_27_HumanActivity_tr_2085_1st_2185,Sub-PCA,0.930707281230735,TSPulse_ZS_ensemble,0.986622,0.986622,0.883196,-0.047511281230735,0.055914718769265015,-0.10342600000000002,-0.10342600000000002
449_UCR_id_147_Sensor_tr_2847_1st_9330,KShapeAD,0.7420917871658096,TSPulse_ZS_fft,0.853402,0.527619,0.690604,-0.051487787165809595,0.1113102128341904,-0.162798,0.16298500000000005
204_SMD_id_27_Facility_tr_5000_1st_15144,Sub-PCA,0.7836001158320594,TSPulse_ZS_time,0.957672,0.042919,0.731718,-0.05188211583205937,0.17407188416794062,-0.225954,0.6887989999999999
192_SMD_id_15_Facility_tr_5925_1st_17580,USAD,0.9400571170309752,TSPulse_ZS_time,0.943818,0.643816,0.887933,-0.05212411703097519,0.0037608829690248813,-0.055885000000000074,0.24411699999999992
285_NEK_id_9_WebService_tr_500_1st_780,Sub-PCA,0.9555692808627966,TSPulse_ZS_future,0.950637,0.178517,0.898006,-0.057563280862796606,-0.004932280862796623,-0.05263099999999998,0.7194889999999999
504_UCR_id_202_Environment_tr_2046_1st_5549,Sub-MCD,0.8237940073233173,TSPulse_ZS_future,0.956793,0.286841,0.760771,-0.06302300732331734,0.1329989926766827,-0.19602200000000003,0.47392999999999996
387_UCR_id_85_Environment_tr_2046_1st_5549,Sub-MCD,0.7924937212425093,TSPulse_ZS_time,0.986177,0.756771,0.724421,-0.0680727212425093,0.1936832787574907,-0.261756,-0.03234999999999999
028_NAB_id_28_Facility_tr_1007_1st_3447,KShapeAD,0.999976622044092,TSPulse_ZS_fft,0.723598,0.01473,0.930265,-0.06971162204409198,-0.276378622044092,0.20666700000000005,0.915535
015_NAB_id_15_Synthetic_tr_1007_1st_2787,Series2Graph,0.9999992189926712,TSPulse_ZS_future,0.993545,0.768298,0.925264,-0.07473521899267122,-0.006454218992671179,-0.06828100000000004,0.15696599999999994
180_SMD_id_3_Facility_tr_5925_1st_17580,MOMENT (ZS),0.9453325072165842,TSPulse_ZS_fft,0.585289,0.113789,0.869046,-0.07628650721658425,-0.3600435072165843,0.28375700000000004,0.755257
818_Exathlon_id_9_Facility_tr_11665_1st_13484,USAD,0.99970379614177,TSPulse_ZS_time,0.715175,0.107079,0.922476,-0.07722779614177,-0.28452879614176996,0.20730099999999996,0.8153969999999999
827_Exathlon_id_18_Facility_tr_10766_1st_12590,USAD,0.9948828872190396,TSPulse_ZS_future,0.545438,0.489532,0.908859,-0.08602388721903964,-0.44944488721903963,0.363421,0.41932699999999995
226_MGAB_id_2_Synthetic_tr_20000_1st_45134,Sub-LOF,0.3885716238113163,TSPulse_ZS_time,0.884183,0.17843,0.286495,-0.10207662381131632,0.4956113761886837,-0.597688,0.108065
149_Stock_id_1_Finance_tr_500_1st_7,SR,0.9989720390207256,TSPulse_ZS_ensemble,0.974189,0.974189,0.892193,-0.10677903902072561,-0.02478303902072565,-0.08199599999999996,-0.08199599999999996
