file,Best_Baseline_Algo,Best_Baseline_Score,TSPulse_ZS,Diff_vs_Baseline
183_SMD_id_6_Facility_tr_5925_1st_17580.csv,SAND,0.98321322966905,0.9714862351961576,-0.011726994472892383
195_SMD_id_18_Facility_tr_5925_1st_17580.csv,MOMENT (FT),0.948383103719645,0.9362613382529392,-0.012121765466705736
143_MSL_id_4_Sensor_tr_980_1st_3550.csv,USAD,0.9998469738484012,0.986547541403895,-0.013299432444506154
819_Exathlon_id_10_Facility_tr_10766_1st_12590.csv,Sub-PCA,0.9995980728122246,0.9859172839956772,-0.013680788816547329
204_SMD_id_27_Facility_tr_5000_1st_15144.csv,Sub-PCA,0.7836001158320594,0.7691522336914043,-0.014447882140655066
430_UCR_id_128_HumanActivity_tr_12500_1st_46500.csv,Sub-LOF,0.0255739647878307,0.0093411115398595,-0.0162328532479712
165_Stock_id_17_Finance_tr_500_1st_7.csv,SR,0.999931224484786,0.9831936206027694,-0.016737603882016616
531_SMAP_id_1_Sensor_tr_1811_1st_4510.csv,SAND,0.9930407230982612,0.9725997606105068,-0.0204409624877544
830_Exathlon_id_21_Facility_tr_10766_1st_12590.csv,USAD,0.9886397810898266,0.9640061199806904,-0.02463366110913623
155_Stock_id_7_Finance_tr_500_1st_18.csv,SR,0.9995209290278988,0.96993986914769,-0.02958105988020876
250_SVDB_id_14_Medical_tr_50000_1st_107354.csv,KShapeAD,0.6560970106919596,0.6264726053588534,-0.029624405333106174
258_TAO_id_2_Environment_tr_500_1st_4.csv,SR,0.9999190240020308,0.9692590824023246,-0.030659941599706197
162_Stock_id_14_Finance_tr_500_1st_4.csv,SR,0.99928498313424,0.9680477821891628,-0.031237200945077204
463_UCR_id_161_Environment_tr_2046_1st_6006.csv,KMeansAD,0.8304360522728402,0.7964675904363274,-0.03396846183651281
207_SMD_id_30_Facility_tr_7174_1st_21230.csv,USAD,0.9081481594747988,0.8729970884624892,-0.03515107101230952
194_SMD_id_17_Facility_tr_5925_1st_17580.csv,POLY,0.897156115342193,0.8571418886372769,-0.040014226704916056
268_IOPS_id_9_WebService_tr_6216_1st_6316.csv,POLY,0.3685563454464119,0.3251638855464715,-0.043392459899940394
140_MSL_id_1_Sensor_tr_530_1st_630.csv,KShapeAD,0.9996409849330056,0.953858500707914,-0.04578248422509157
806_YAHOO_id_256_Synthetic_tr_500_1st_893.csv,Chronos,1.0,0.9536555991157996,-0.04634440088420044
222_LTDB_id_7_Medical_tr_3618_1st_3718.csv,AutoEncoder,0.993472420323474,0.9414710620644005,-0.05200135825907359
344_UCR_id_42_Sensor_tr_2851_1st_5365.csv,Sub-LOF,0.0567317603068241,0.0046320466525187,-0.0520997136543054
525_UCR_id_223_Facility_tr_50000_1st_250720.csv,Sub-MCD,0.0559142365564645,0.0035162482243264,-0.0523979883321381
