file,Best_Baseline_Algo,Best_Baseline_Score,Best_TSPulse_Algo,Best_TSPulse_Score,TSPulse_ZS_ensemble,Diff_ZS_vs_Baseline
026_MITDB_id_8_Medical_tr_30495_1st_30595,OmniAnomaly,0.2424360276424477,TSPulse2_tuning_set_channel_selection,0.2101867464811499,0.2008269471089575,-0.0322492811612978
030_MITDB_id_12_Medical_tr_50000_1st_84572,KMeansAD,0.1027069757586407,TSPulse_ZS_forecast,0.0698063077547907,0.066588341884336,-0.03290066800385
119_TAO_id_4_Environment_tr_500_1st_1,MCD,0.9999963842848444,TSPulse_ZS_forecast,0.965459032707755,0.9391278381469964,-0.03453735157708937
035_GHL_id_4_Sensor_tr_50000_1st_90001,OmniAnomaly,0.0546803463056689,TSPulse2_tuning_set_channel_selection,0.0161122630274635,0.0097380179392486,-0.0385680832782054
156_SMAP_id_13_Sensor_tr_1173_1st_2750,KMeansAD,0.9979412385418882,TSPulse_ZS_forecast,0.9588946018378314,0.7526531660608382,-0.039046636704056836
055_GHL_id_24_Sensor_tr_50000_1st_118124,LSTMAD,0.053680553416385,TSPulse2_tuning_set_channel_selection,0.0126122533292668,0.003772325981226,-0.041068300087118204
021_MITDB_id_3_Medical_tr_50000_1st_57595,CNN,0.0665544732568446,TSPulse2_tuning_set_channel_selection,0.0245698519569655,0.0227576397481566,-0.04198462129987911
163_SMAP_id_20_Sensor_tr_2051_1st_4575,KMeansAD,0.065517277193106,TSPulse_ZS_forecast,0.0217290525711761,0.0169066306868905,-0.0437882246219299
044_GHL_id_13_Sensor_tr_50000_1st_145001,Donut,0.0564973090299701,TSPulse2_tuning_set_channel_selection,0.0103333284001892,0.0069124548282995,-0.0461639806297809
039_GHL_id_8_Sensor_tr_50000_1st_63030,OmniAnomaly,0.0646009825821089,TSPulse2_tuning_set_channel_selection,0.0150492205683065,0.0045074816733182,-0.0495517620138024
123_TAO_id_8_Environment_tr_500_1st_62,PCA,0.9998917640413304,TSPulse_ZS_forecast,0.948557860297704,0.9002982511639687,-0.05133390374362645
127_TAO_id_12_Environment_tr_500_1st_24,AutoEncoder,0.9999389890102838,TSPulse_ZS_forecast,0.9481786165695072,0.8663059729227971,-0.05176037244077658
